squad,#_pl,age,poss,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,season,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,squad_clean,season_start_year,goals_per_game,assists_per_game,goal_contribution_per_game,yellow_cards_per_game,period
Manchester Utd,29,26.9,,38,418,3420,38.0,77,60,137,75,2,3,44,3.0,2.03,1.58,3.61,1.97,3.55,2000-01,,,,,,,,,,,,Manchester United,2000,2.026315789473684,1.5789473684210527,3.6052631578947367,1.1578947368421053,Ferguson Era (2000-2013)
Manchester Utd,28,27.5,,38,402,3420,38.0,81,56,137,76,5,5,52,1.0,2.13,1.47,3.61,2.0,3.47,2001-02,,,,,,,,,,,,Manchester United,2001,2.1315789473684212,1.4736842105263157,3.6052631578947367,1.368421052631579,Ferguson Era (2000-2013)
Manchester Utd,26,27.0,,38,418,3420,38.0,73,56,129,64,9,9,46,1.0,1.92,1.47,3.39,1.68,3.16,2002-03,,,,,,,,,,,,Manchester United,2002,1.9210526315789473,1.4736842105263157,3.3947368421052633,1.2105263157894737,Ferguson Era (2000-2013)
Manchester Utd,22,25.8,,38,418,3420,38.0,63,54,117,62,1,4,46,3.0,1.66,1.42,3.08,1.63,3.05,2003-04,,,,,,,,,,,,Manchester United,2003,1.6578947368421053,1.4210526315789473,3.0789473684210527,1.2105263157894737,Ferguson Era (2000-2013)
Manchester Utd,26,26.0,,38,416,3420,38.0,57,45,102,54,3,4,52,5.0,1.5,1.18,2.68,1.42,2.61,2004-05,,,,,,,,,,,,Manchester United,2004,1.5,1.1842105263157894,2.6842105263157894,1.368421052631579,Ferguson Era (2000-2013)
Manchester Utd,26,26.4,,38,417,3420,38.0,68,50,118,66,2,3,61,2.0,1.79,1.32,3.11,1.74,3.05,2005-06,,,,,,,,,,,,Manchester United,2005,1.7894736842105263,1.3157894736842106,3.1052631578947367,1.605263157894737,Ferguson Era (2000-2013)
Manchester Utd,25,27.3,,38,418,3420,38.0,80,60,140,75,5,6,58,1.0,2.11,1.58,3.68,1.97,3.55,2006-07,,,,,,,,,,,,Manchester United,2006,2.1052631578947367,1.5789473684210527,3.6842105263157894,1.5263157894736843,Ferguson Era (2000-2013)
Manchester Utd,25,26.7,,38,418,3420,38.0,78,52,130,72,6,8,51,2.0,2.05,1.37,3.42,1.89,3.26,2007-08,,,,,,,,,,,,Manchester United,2007,2.0526315789473686,1.368421052631579,3.4210526315789473,1.3421052631578947,Ferguson Era (2000-2013)
Manchester Utd,33,27.1,,38,418,3420,38.0,68,51,119,64,4,4,67,5.0,1.79,1.34,3.13,1.68,3.03,2008-09,,,,,,,,,,,,Manchester United,2008,1.7894736842105263,1.3421052631578947,3.1315789473684212,1.763157894736842,Ferguson Era (2000-2013)
Manchester Utd,30,27.8,,38,418,3420,38.0,74,48,122,68,6,8,51,4.0,1.95,1.26,3.21,1.79,3.05,2009-10,,,,,,,,,,,,Manchester United,2009,1.9473684210526316,1.263157894736842,3.210526315789474,1.3421052631578947,Ferguson Era (2000-2013)
Manchester Utd,29,28.3,,38,418,3420,38.0,75,59,134,72,3,5,59,3.0,1.97,1.55,3.53,1.89,3.45,2010-11,,,,,,,,,,,,Manchester United,2010,1.9736842105263157,1.5526315789473684,3.526315789473684,1.5526315789473684,Ferguson Era (2000-2013)
Manchester Utd,31,26.3,,38,418,3420,38.0,87,69,156,78,9,11,51,1.0,2.29,1.82,4.11,2.05,3.87,2011-12,,,,,,,,,,,,Manchester United,2011,2.289473684210526,1.8157894736842106,4.105263157894737,1.3421052631578947,Ferguson Era (2000-2013)
Manchester Utd,25,27.3,,38,418,3420,38.0,80,63,143,76,4,7,56,1.0,2.11,1.66,3.76,2.0,3.66,2012-13,,,,,,,,,,,,Manchester United,2012,2.1052631578947367,1.6578947368421053,3.763157894736842,1.4736842105263157,Ferguson Era (2000-2013)
Manchester Utd,30,26.7,,38,418,3420,38.0,63,37,100,58,5,5,70,0.0,1.66,0.97,2.63,1.53,2.5,2013-14,,,,,,,,,,,,Manchester United,2013,1.6578947368421053,0.9736842105263158,2.6315789473684212,1.8421052631578947,Ferguson Era (2000-2013)
Manchester Utd,33,26.0,61.2,38,418,3420,38.0,60,41,101,57,3,5,68,0.0,1.58,1.08,2.66,1.5,2.58,2014-15,,,,,,,,,,,,Manchester United,2014,1.5789473684210527,1.0789473684210527,2.6578947368421053,1.7894736842105263,Post-Ferguson (2013-2020)
Manchester Utd,33,25.6,58.5,38,418,3420,38.0,46,31,77,43,3,3,67,0.0,1.21,0.82,2.03,1.13,1.95,2015-16,,,,,,,,,,,,Manchester United,2015,1.2105263157894737,0.8157894736842105,2.026315789473684,1.763157894736842,Post-Ferguson (2013-2020)
Manchester Utd,31,26.7,56.5,38,418,3420,38.0,54,37,91,51,3,4,80,1.0,1.42,0.97,2.39,1.34,2.32,2016-17,,,,,,,,,,,,Manchester United,2016,1.4210526315789473,0.9736842105263158,2.3947368421052633,2.1052631578947367,Post-Ferguson (2013-2020)
Manchester Utd,27,26.7,54.7,38,418,3420,38.0,67,53,120,66,1,3,64,,1.76,1.39,3.16,1.74,3.13,2017-18,55.7,53.3,40.5,93.8,920.0,1564.0,1.47,1.07,2.53,1.4,2.47,Manchester United,2017,1.763157894736842,1.394736842105263,3.1578947368421053,1.6842105263157894,Post-Ferguson (2013-2020)
Manchester Utd,28,26.3,54.7,38,418,3420,38.0,65,40,105,56,9,12,77,4.0,1.71,1.05,2.76,1.47,2.53,2018-19,61.4,52.0,39.6,91.6,801.0,1668.0,1.62,1.04,2.66,1.37,2.41,Manchester United,2018,1.7105263157894737,1.0526315789473684,2.763157894736842,2.026315789473684,Post-Ferguson (2013-2020)
Manchester Utd,29,24.8,55.8,38,418,3420,38.0,65,43,108,55,10,14,73,0.0,1.71,1.13,2.84,1.45,2.58,2019-20,62.2,51.2,38.5,89.7,926.0,1788.0,1.64,1.01,2.65,1.35,2.36,Manchester United,2019,1.7105263157894737,1.131578947368421,2.8421052631578947,1.9210526315789473,Post-Ferguson (2013-2020)
Manchester Utd,29,25.6,55.7,38,418,3420,38.0,70,51,121,60,10,11,64,1.0,1.84,1.34,3.18,1.58,2.92,2020-21,60.1,51.4,41.6,93.1,877.0,1832.0,1.58,1.1,2.68,1.35,2.45,Manchester United,2020,1.8421052631578947,1.3421052631578947,3.1842105263157894,1.6842105263157894,Post-Ferguson (2013-2020)
Manchester Utd,29,27.2,52.7,38,418,3420,38.0,56,46,102,53,3,5,77,2.0,1.47,1.21,2.68,1.39,2.61,2021-22,55.8,51.9,42.5,94.3,784.0,1568.0,1.47,1.12,2.59,1.36,2.48,Manchester United,2021,1.4736842105263157,1.2105263157894737,2.6842105263157894,2.026315789473684,Recent Years (2020+)
Manchester Utd,26,26.9,53.7,38,418,3420,38.0,56,42,98,53,3,3,78,2.0,1.47,1.11,2.58,1.39,2.5,2022-23,67.7,65.3,52.2,117.5,711.0,1595.0,1.78,1.37,3.15,1.72,3.09,Manchester United,2022,1.4736842105263157,1.105263157894737,2.5789473684210527,2.0526315789473686,Recent Years (2020+)
